small cell lung carcinoma	hsa-mir-378g
anemia, sickle cell	hsa-mir-619
atrophy	hsa-mir-432
intervertebral disk	hsa-mir-671
small cell lung carcinoma	hsa-mir-92a
radiation injuries	hsa-mir-648
supranuclear palsy, progressive	hsa-mir-340
radiation injuries	hsa-mir-184
amyotrophic lateral sclerosis	hsa-mir-632
aortic aneurysm, thoracic	hsa-mir-758
tuberculosis, pulmonary	hsa-mir-512
adrenocortical carcinoma	hsa-mir-3163
leukemia, myelogenous, chronic, bcr-abl positive	hsa-mir-20a
adenoviridae infections	hsa-mir-337
infertility, male	hsa-mir-21
cardiomyopathies	hsa-mir-151a
hepatitis, chronic	hsa-mir-19b
lung neoplasms	hsa-mir-1179
colitis	hsa-mir-206
pituitary adenomas	hsa-mir-504
muscular dystrophy, facioscapulohumeral	hsa-mir-320e
hyperglycemia	hsa-mir-569
chondrodysplasia punctata	hsa-mir-138
hyperglycemia	hsa-mir-628
gastric neoplasms	hsa-mir-423
arthritis	hsa-mir-125b
colitis	hsa-let-7f
lung neoplasms	hsa-mir-32
prrsv infection	hsa-mir-548d
toxoplasmosis	hsa-mir-526a
erythropoiesis	hsa-mir-611
head and neck neoplasms	hsa-mir-629
stomach diseases	hsa-mir-26a
arthritis	hsa-mir-219
biliary atresia	hsa-mir-23b
fatty liver, non-alcoholic	hsa-mir-126
fibrosarcoma	hsa-mir-320a
diabetic retinopathy	hsa-mir-424
nasopharyngeal neoplasms	hsa-mir-526b
distal myopathies	hsa-mir-199a
wounds and injuries	hsa-mir-1236
parkinson disease	hsa-mir-3196
irritable bowel syndrome	hsa-mir-2355
carcinoma, renal cell	hsa-mir-1301
lung diseases	hsa-mir-1245a
glioblastoma 	hsa-mir-130a
lymphoma, large-cell, anaplastic	hsa-mir-502
mouth neoplasms	hsa-mir-127
diabetic retinopathy	hsa-mir-125a
medulloblastoma	hsa-mir-99a
synapses	hsa-mir-1323
fanconi anemia	hsa-mir-378d
adrenal cortex neoplasms	hsa-mir-200
cardiomegaly	hsa-mir-2355
barrett esophagus	hsa-mir-520e
siv infection	hsa-mir-506
infertility, male	hsa-mir-378h
lymphoma, t-cell	hsa-mir-636
leukemia, lymphoblastic, acute	hsa-mir-663
hepatitis c	hsa-mir-151a
hepatitis b, chronic	hsa-mir-335
giant cell tumors	hsa-mir-449a
parkinson disease	hsa-mir-148a
laryngeal neoplasms	hsa-mir-489
rna virus infections	hsa-mir-122
liver neoplasms	hsa-mir-1249
carcinoma	hsa-mir-383
scleroderma, localized	hsa-mir-133b
hiv infections	hsa-mir-145
frontotemporal lobar degeneration	hsa-mir-425
leukemia, myeloid, chronic-phase	hsa-mir-490
leukemia-lymphoma, adult t-cell	hsa-mir-339
biliary atresia	hsa-mir-187
myocardial infarction	hsa-mir-381
lupus nephritis	hsa-mir-1322
diabetes mellitus, type 1	hsa-mir-624
periodontitis	hsa-mir-1260a
reperfusion injury	hsa-mir-450a
hand, foot and mouth disease	hsa-mir-582
dyslipidemias	hsa-mir-431
myotonic dystrophy	hsa-mir-197
retinoblastoma	hsa-mir-638
myocardium	hsa-mir-648
myocarditis	hsa-mir-378b
pain	hsa-mir-452
schistosomiasis	hsa-mir-142
autoimmune diseases	hsa-mir-325
synapses	hsa-mir-22
cerebellar neoplasms	hsa-mir-501
digestive system neoplasms	hsa-mir-567
diabetes mellitus, type 1	hsa-mir-298
brain ischemia	hsa-mir-491
liver neoplasms	hsa-mir-137
cerebellar neoplasms	hsa-mir-147b
demyelinating diseases	hsa-mir-377
precursor cell lymphoblastic leukemia-lymphoma	hsa-mir-616
anxiety disorders	hsa-mir-519d
distal myopathies	hsa-mir-668
toxoplasma	hsa-mir-31
neuroblastoma	hsa-mir-217
cholesteatoma	hsa-mir-208a
irritable bowel syndrome	hsa-mir-451
diabetic retinopathy	hsa-mir-302c
periodontal diseases	hsa-mir-325
carcinoma, oral	hsa-mir-411
myocardial infarction	hsa-mir-320e
esophageal neoplasms	hsa-mir-520e
fragile x syndrome	hsa-mir-499b
hepatoblastoma	hsa-mir-300
aortic valve stenosis	hsa-mir-31
adenocarcinoma	hsa-let-7c
carcinoma, neuroendocrine	hsa-mir-378d
myeloproliferative disorders	hsa-mir-548b
rhabdomyosarcoma	hsa-mir-502
skin neoplasms	hsa-mir-616
cardiomyopathy, dilated	hsa-mir-337
muscular dystrophies	hsa-mir-190a
cystic fibrosis	hsa-mir-590
cardiovascular diseases	hsa-mir-636
liver diseases, alcoholic	hsa-mir-382
amyloidosis	hsa-mir-181a
rectal neoplasms	hsa-mir-378h
sarcoma, kaposi	hsa-mir-320b
dyspepsia	hsa-mir-552
colitis	hsa-mir-374a
adrenal cortex neoplasms	hsa-mir-320c
lipid metabolism disorders	hsa-mir-520b
helplessness, learned	hsa-mir-552
cardiovascular diseases	hsa-mir-431
leukemia, myelogenous, chronic, bcr-abl positive	hsa-mir-192
ependymoma	hsa-mir-29b
carcinoma, oral	hsa-mir-3151
rectal neoplasms	hsa-mir-373
angina, unstable	hsa-mir-124
sarcoma, ewing	hsa-mir-495
infertility, male	hsa-mir-1286
fibrosis	hsa-mir-500b
brain neoplasms	hsa-mir-598
ependymoma	hsa-mir-302e
uterine cervical neoplasms	hsa-mir-376a
liver diseases	hsa-mir-1247
autoimmune diseases	hsa-mir-17
graves disease	hsa-mir-1266
panic disorder	hsa-mir-200c
ischemic preconditioning	hsa-mir-500a
sars virus	hsa-mir-378h
abortion, habitual	hsa-mir-323a
urinary bladder neoplasms	hsa-mir-450a
lymphoma, extranodal nk-t-cell	hsa-mir-519b
cerebral ischemia	hsa-mir-127
wounds and injuries	hsa-mir-28
obesity	hsa-mir-326
pregnancy, ectopic	hsa-mir-222
diabetes mellitus	hsa-mir-564
diabetes complications	hsa-mir-507
fibroblasts	hsa-mir-504
intracranial aneurysm	hsa-let-7i
sarcoma	hsa-mir-30c
lymphoma, extranodal nk-t-cell	hsa-mir-500a
diabetes mellitus	hsa-mir-325
helplessness, learned	hsa-mir-378d
hematologic neoplasms	hsa-mir-103b
rectal neoplasms	hsa-mir-122
lupus vulgaris	hsa-mir-508
toxoplasmosis	hsa-mir-503
siv infection	hsa-mir-619
carcinoma, squamous cell	hsa-mir-376c
leukemia, lymphoblastic, chronic	hsa-mir-151b
aortic valve insufficiency	hsa-mir-126
psoriasis	hsa-mir-299
arthritis, psoriatic	hsa-mir-1245b
hcv	hsa-mir-301a
hamartoma syndrome, multiple	hsa-mir-337
leukemia, myeloid, acute	hsa-mir-124
head and neck neoplasms	hsa-mir-378b
leukemia, b-cell	hsa-mir-933
pulmonary fibrosis	hsa-mir-873
salivary gland neoplasms	hsa-mir-378c
mycosis fungoides	hsa-mir-519e
ovary syndrome	hsa-mir-33b
hypertrophy, left ventricular	hsa-mir-661
retinoblastoma	hsa-mir-655
osteosarcoma 	hsa-mir-136
hyperlipidemias	hsa-mir-545
liposarcoma	hsa-mir-1972
atherosclerosis	hsa-mir-297
burns	hsa-mir-640
granulosa cell tumor	hsa-mir-490
schistosomiasis	hsa-mir-203
sepsis	hsa-mir-498
helplessness, learned	hsa-mir-1273a
glioblastoma	hsa-mir-718
albuminuria	hsa-mir-297
myocardial infarction	hsa-mir-511
diabetes mellitus, type 2	hsa-mir-487a
neoplasms	hsa-mir-197
myotonic dystrophy	hsa-mir-519e
helplessness, learned	hsa-mir-1271
leukemia, biphenotypic, acute	hsa-mir-518b
biliary atresia	hsa-mir-197
lymphoma, t-cell	hsa-mir-652
cardiomyopathy, hypertrophic	hsa-mir-1286
prrsv infection	hsa-mir-1302
colitis, ulcerative	hsa-mir-602
carcinoma, renal cell	hsa-mir-320c
scleroderma, systemic	hsa-let-7e
demyelinating diseases	hsa-mir-483
myositis ossificans	hsa-mir-424
stroke	hsa-mir-489
lymphoproliferative disorders	hsa-mir-493
neuroblastoma	hsa-mir-527
prion diseases	hsa-mir-136
retinal degeneration	hsa-mir-92a
scleroderma, systemic	hsa-mir-367
carcinoma, oral	hsa-mir-134
hepatitis b, chronic	hsa-mir-205
nerve sheath neoplasms	hsa-mir-647
leukemia, myeloid, chronic-phase	hsa-mir-520f
hpv infection	hsa-mir-214
arthritis, rheumatoid	hsa-mir-302f
lupus erythematosus, systemic	hsa-mir-148a
prolactinoma	hsa-mir-593
osteolysis	hsa-mir-769
drug-induced liver injury	hsa-mir-1183
anus neoplasms	hsa-mir-204
cholesteatoma	hsa-mir-30c
vitiligo	hsa-mir-3196
leukemia, myeloid, acute	hsa-mir-571
liver neoplasms	hsa-mir-500b
cholesteatoma	hsa-mir-196a
colitis, ulcerative	hsa-let-7a
gastric neoplasms	hsa-mir-1972
head and neck neoplasms	hsa-mir-661
hev	hsa-mir-297
anus neoplasms	hsa-mir-484
hemangiosarcoma	hsa-mir-186
hiv infections	hsa-mir-186
ovarian neoplasms	hsa-mir-637
leukemia, myeloid	hsa-mir-583
liver failure	hsa-mir-147b
lymphoma, large-cell, anaplastic	hsa-mir-195
heart defects, congenital	hsa-mir-188
toxoplasma	hsa-mir-128
vascular diseases	hsa-mir-638
hypopharyngeal neoplasms	hsa-mir-320e
choriocarcinoma	hsa-mir-3940
erythropoiesis	hsa-mir-329
melanoma	hsa-mir-497
inflammatory bowel diseases	hsa-mir-513b
nevus, pigmented	hsa-mir-423
liver diseases	hsa-mir-133b
radiation injuries	hsa-mir-612
brain injury	hsa-mir-9
alopecia	hsa-mir-624
pheochromocytoma	hsa-mir-298
tongue neoplasms	hsa-mir-492
choriocarcinoma	hsa-mir-139
sarcoma, synovial	hsa-mir-493
francisella	hsa-mir-941
laryngeal neoplasms	hsa-mir-566
osteolysis	hsa-mir-518b
leukemia, myeloid, chronic-phase	hsa-mir-520e
muscular dystrophies	hsa-mir-922
myeloproliferative disorders	hsa-mir-520f
sarcoma, ewing's	hsa-mir-583
sarcoma, synovial	hsa-mir-599
anemia, sickle cell	hsa-mir-365a
leukoplakia, oral	hsa-mir-23a
liver neoplasms	hsa-mir-517c
carcinoma, ductal, breast	hsa-mir-96
prrsv infection	hsa-mir-598
arthritis	hsa-mir-708
colorectal neoplasms, hereditary nonpolyposis	hsa-mir-218
autistic disorder	hsa-mir-34b
prrsv infection	hsa-mir-566
vitiligo	hsa-mir-152
graves disease	hsa-mir-19a
lymphoma	hsa-mir-1207
choriocarcinoma	hsa-mir-202
hiv infections	hsa-mir-320d
nervous system diseases	hsa-mir-561
endothelium, vascular	hsa-mir-493
synapses	hsa-mir-582
myopia	hsa-mir-520c
alzheimer disease	hsa-mir-451
mastocytosis, systemic	hsa-mir-92a
neoplasms, glandular and epithelial	hsa-mir-596
precursor b-cell lymphoblastic leukemia-lymphoma	hsa-mir-96
carcinoma, hepatocellular	hsa-mir-323b
focal epithelial hyperplasia	hsa-mir-942
neurilemmoma	hsa-mir-378a
glomerulonephritis, iga	hsa-mir-132
neutropenia	hsa-mir-627
hbv infection	hsa-mir-365a
lymphoma, non-hodgkin	hsa-mir-526a
lupus vulgaris	hsa-mir-584
waldenstrom macroglobulinemia	hsa-mir-372
rhinitis, allergic, perennial	hsa-mir-190a
carcinoma, embryonal	hsa-mir-510
hepatitis, chronic	hsa-mir-133a
vascular calcification	hsa-mir-455
psychotic disorders	hsa-mir-10b
fatty liver, alcoholic	hsa-mir-2861
neoplasms, glandular and epithelial	hsa-mir-520a
chlamydia infections	hsa-mir-340
francisella	hsa-mir-766
erythropoiesis	hsa-mir-933
heart defects, congenital	hsa-mir-510
arthritis, psoriatic	hsa-mir-760
renal insufficiency	hsa-mir-378a
lymphoma, b-cell	hsa-mir-129
liver cirrhosis	hsa-mir-329
carcinoma, small cell	hsa-mir-449a
leukemia, acute	hsa-mir-1972
irritable bowel syndrome	hsa-mir-183
lymphoma, mantle-cell	hsa-mir-1181
carcinoma, neuroendocrine	hsa-mir-205
inflammation	hsa-mir-27a
toxoplasma	hsa-mir-1258
crohn disease	hsa-mir-30c
periodontitis	hsa-mir-181c
myocardial reperfusion injury	hsa-mir-942
liver cirrhosis, biliary	hsa-mir-498
hcmv infection	hsa-mir-192
rhabdomyosarcoma	hsa-mir-126
lymphoma	hsa-mir-1271
leukemia, lymphoblastic, acute	hsa-mir-378g
cocaine-related disorders	hsa-mir-32
lung diseases, interstitial	hsa-mir-499b
osteolysis	hsa-mir-592
sjogren's syndrome	hsa-mir-92b
laryngeal neoplasms	hsa-mir-659
lipid metabolism disorders	hsa-mir-151
liver failure	hsa-mir-513a
atrial fibrillation	hsa-mir-646
colorectal neoplasms, hereditary nonpolyposis	hsa-mir-520b
colitis	hsa-mir-1224
inflammatory bowel diseases	hsa-mir-873
nervous system diseases	hsa-mir-652
skin neoplasms	hsa-mir-197
eye abnormalities	hsa-mir-324
vascular diseases	hsa-mir-520e
neoplasms, germ cell and embryonal	hsa-mir-488
marek disease	hsa-mir-564
carcinoma, small cell	hsa-mir-1183
hemangiosarcoma	hsa-mir-150
pulmonary embolism	hsa-mir-193b
heart defects, congenital	hsa-mir-514a
colitis	hsa-mir-659
leukemia, myeloid, acute	hsa-mir-744
antiphospholipid syndrome	hsa-let-7e
hypertrophy, left ventricular	hsa-mir-95
lymphoma, extranodal nk-t-cell	hsa-mir-365b
gout	hsa-mir-33b
choriocarcinoma	hsa-mir-371a
myasthenia gravis	hsa-mir-92a
coronary artery disease	hsa-mir-539
sars virus	hsa-mir-874
hyperglycemia	hsa-mir-1322
anus neoplasms	hsa-mir-215
prostatic neoplasms	hsa-mir-127
esophageal neoplasms	hsa-mir-518c
tourette syndrome	hsa-mir-409
intracranial aneurysm	hsa-mir-1236
colonic neoplasms	hsa-mir-199b
burkitt lymphoma	hsa-mir-378i
distal myopathies	hsa-mir-101
fanconi anemia	hsa-mir-346
antiphospholipid syndrome	hsa-mir-432
leukemia	hsa-mir-513a
long qt syndrome	hsa-mir-22
leukemia, myelogenous, chronic, bcr-abl positive	hsa-mir-450a
nasopharyngeal neoplasms	hsa-mir-592
long qt syndrome	hsa-mir-450a
patau syndrome	hsa-mir-545
hematologic neoplasms	hsa-mir-1302
myopia	hsa-mir-198
lung diseases, interstitial	hsa-let-7a
anus neoplasms	hsa-mir-1323
lipid metabolism disorders	hsa-mir-200c
hepatitis c, chronic	hsa-mir-596
nevus, pigmented	hsa-mir-429
lymphoproliferative disorders	hsa-mir-184
arrhythmias, cardiac	hsa-mir-224
ischemic preconditioning	hsa-mir-377
neurofibromatosis 2	hsa-mir-657
biliary tract neoplasms	hsa-mir-499a
heart defects, congenital	hsa-mir-647
myotonic dystrophy	hsa-mir-760
waldenstrom macroglobulinemia	hsa-mir-20a
ischemia	hsa-mir-668
liver cirrhosis, biliary	hsa-mir-302f
medulloblastoma	hsa-mir-1290
ischemic preconditioning	hsa-mir-410
osteosarcoma	hsa-mir-423
diabetic nephropathies	hsa-mir-142
pulmonary fibrosis	hsa-mir-107
stomach neoplasms	hsa-mir-323b
amyotrophic lateral sclerosis	hsa-mir-379
lymphoma, extranodal nk-t-cell	hsa-mir-664
inflammation	hsa-mir-382
ischemic preconditioning	hsa-mir-26
hepatoblastoma	hsa-mir-518c
esophagus	hsa-mir-99a
osteolysis	hsa-mir-557
inflammatory bowel diseases	hsa-mir-571
gout	hsa-mir-302f
sarcoma	hsa-mir-1249
supranuclear palsy, progressive	hsa-mir-624
hodgkin disease	hsa-mir-103b
patau syndrome	hsa-let-7b
precursor t-cell lymphoblastic leukemia-lymphoma	hsa-mir-19b
hepatitis, chronic	hsa-mir-106b
intervertebral disk	hsa-mir-1249
sarcoma, ewing's	hsa-mir-532
glioblastoma 	hsa-mir-603
arthritis, psoriatic	hsa-mir-146b
odontogenic tumors	hsa-mir-1827
cystitis, interstitial	hsa-mir-647
lung diseases	hsa-mir-18a
biliary atresia	hsa-mir-451
cerebral ischemia	hsa-mir-24
hiv infection	hsa-mir-193b
precursor b-cell lymphoblastic leukemia-lymphoma	hsa-mir-376b
choriocarcinoma	hsa-mir-372
inflammatory bowel diseases	hsa-mir-455
lymphoma, large b-cell, diffuse	hsa-mir-421
lymphoma, large b-cell, diffuse	hsa-mir-409
lymphoma, mantle-cell	hsa-mir-106b
fanconi anemia	hsa-mir-516a
colorectal neoplasms	hsa-mir-181b
liver cirrhosis	hsa-mir-544b
mouth neoplasms	hsa-mir-675
frontotemporal lobar degeneration	hsa-mir-323a
kidney diseases	hsa-mir-198
hyperlipidemias	hsa-mir-320c
nasopharyngeal neoplasms	hsa-mir-1184
keloid	hsa-mir-1323
colitis, ulcerative	hsa-mir-520c
intracranial aneurysm	hsa-mir-1471
arthritis, rheumatoid	hsa-mir-602
pain	hsa-mir-922
leukemia, myeloid	hsa-mir-223
ovary syndrome	hsa-mir-758
leukemia, myelogenous, chronic, bcr-abl positive	hsa-mir-663
atherosclerosis	hsa-mir-340
amyloidosis	hsa-mir-105
anxiety disorders	hsa-mir-487b
leukemia-lymphoma, adult t-cell	hsa-mir-487a
osteosarcoma	hsa-mir-448
vascular diseases	hsa-mir-448
sezary syndrome	hsa-mir-22
autoimmune diseases	hsa-mir-744
eye abnormalities	hsa-mir-331
fatty liver, non-alcoholic	hsa-mir-627
ovary syndrome	hsa-mir-147b
lymphoma	hsa-mir-132
acth-secreting pituitary adenoma	hsa-mir-92b
retinoblastoma	hsa-mir-337
nasal polyps	hsa-mir-601
long qt syndrome	hsa-mir-614
sarcoma, kaposi	hsa-mir-371
cystitis, interstitial	hsa-mir-125b
renal insufficiency	hsa-mir-485
crohn disease	hsa-mir-509
hiv	hsa-mir-492
intervertebral disk	hsa-mir-24
skin neoplasms	hsa-mir-186
carcinoma, ehrlich tumor	hsa-mir-519c
lymphoma, b-cell	hsa-mir-375
glioma	hsa-mir-127
lupus vulgaris	hsa-mir-484
chondrodysplasia punctata	hsa-mir-101
dementia	hsa-mir-133a
leukoplakia, oral	hsa-mir-602
fatty liver, alcoholic	hsa-mir-1273a
lupus nephritis	hsa-mir-874
infertility, male	hsa-mir-494
urinary bladder neoplasms	hsa-mir-619
multiple sclerosis	hsa-mir-99b
multiple myeloma	hsa-mir-211
diabetic retinopathy	hsa-mir-1303
toxoplasmosis	hsa-mir-612
barrett esophagus	hsa-mir-432
granulosa cell tumor	hsa-mir-302d
hodgkin disease	hsa-mir-433
nasopharyngeal neoplasms	hsa-mir-508
tourette syndrome	hsa-mir-885
cardiomyopathies	hsa-mir-500a
digestive system neoplasms	hsa-mir-186
panic disorder	hsa-mir-637
hiv	hsa-mir-451a
adrenal cortex neoplasms	hsa-mir-181b
liver cirrhosis, biliary	hsa-mir-146b
head and neck neoplasms	hsa-mir-1224
liver diseases, alcoholic	hsa-mir-517a
pulmonary embolism	hsa-mir-1827
gerstmann-straussler-scheinker disease	hsa-mir-183
fatty liver	hsa-mir-590
carcinoma, endometrioid	hsa-mir-371a
inflammation	hsa-mir-154
salivary gland neoplasms	hsa-mir-511
melanoma	hsa-mir-1302
carcinoma, ehrlich tumor	hsa-mir-658
kidney failure, acute	hsa-mir-488
hpv infection	hsa-mir-196a
acute coronary syndrome	hsa-mir-601
sars virus	hsa-mir-34c
leukemia, lymphoblastic, chronic	hsa-mir-1183
rhinitis, allergic, perennial	hsa-mir-574
lymphoma, non-hodgkin	hsa-mir-148b
mastocytosis, systemic	hsa-mir-218
vascular diseases	hsa-mir-196b
pregnancy, ectopic	hsa-mir-142
carcinoma, oral	hsa-mir-3163
anxiety disorders	hsa-mir-383
adrenocortical adenoma	hsa-mir-655
prrsv infection	hsa-mir-519a
nasopharyngeal neoplasms	hsa-mir-663
rhabdomyosarcoma	hsa-mir-378i
aortic aneurysm, abdominal	hsa-mir-135b
adenoma	hsa-mir-498
meningioma	hsa-mir-143
parkinson disease	hsa-mir-378d
breast neoplasms	hsa-mir-635
cicatrix	hsa-mir-378a
liver neoplasms	hsa-mir-499a
atrial fibrillation	hsa-mir-1245b
myocardial reperfusion injury	hsa-mir-200
pancreatic neoplasms	hsa-mir-1254
pituitary adenomas	hsa-mir-324
fatty liver	hsa-mir-320d
marek disease	hsa-mir-371a
neoplasms	hsa-mir-515
gerstmann-straussler-scheinker disease	hsa-mir-495
muscular dystrophy, duchenne	hsa-mir-1909
head and neck neoplasms	hsa-mir-711
muscular dystrophy, duchenne	hsa-mir-25
diabetes mellitus	hsa-mir-95
pregnancy, ectopic	hsa-mir-379
cerebral infarction	hsa-mir-525
rectal neoplasms	hsa-mir-375
focal epithelial hyperplasia	hsa-mir-223
hpv infection	hsa-mir-301a
cataract	hsa-mir-452
endothelium, vascular	hsa-mir-18a
atrial fibrillation	hsa-mir-300
giant cell tumors	hsa-mir-376c
hepatoblastoma	hsa-mir-501
pain	hsa-mir-532
glioma	hsa-mir-323b
adenoma	hsa-mir-34a
colorectal neoplasms	hsa-mir-1297
pituitary adenomas	hsa-mir-627
leiomyoma	hsa-mir-379
panic disorder	hsa-let-7d
patau syndrome	hsa-mir-542
hyperglycemia	hsa-mir-190b
mycosis fungoides	hsa-mir-611
graves disease	hsa-mir-484
liver diseases	hsa-mir-328
cryptosporidium	hsa-let-7f
anemia, sickle cell	hsa-mir-371a
cholesteatoma	hsa-mir-668
giant cell tumors	hsa-mir-320d
hepatoblastoma	hsa-mir-642a
aortic valve stenosis	hsa-mir-632
adrenocortical carcinoma	hsa-mir-513c
hepatitis c	hsa-mir-383
leukemia, lymphoblastic, acute	hsa-mir-383
osteoarthritis	hsa-mir-650
carcinoma, squamous cell	hsa-mir-139
hepatitis b	hsa-mir-138
melanoma	hsa-mir-503
cerebral infarction	hsa-mir-125b
burkitt lymphoma	hsa-mir-202
liver diseases, alcoholic	hsa-mir-663b
scleroderma, localized	hsa-mir-15a
marek disease	hsa-mir-190a
cystic fibrosis	hsa-mir-744
lipid metabolism disorders	hsa-mir-628
stroke	hsa-mir-572
inflammation	hsa-mir-941
hepatitis, chronic	hsa-mir-214
angina, unstable	hsa-mir-106b
sarcoma, synovial	hsa-mir-215
angina, unstable	hsa-mir-516a
cicatrix	hsa-mir-621
keloid	hsa-mir-208a
patau syndrome	hsa-mir-424
eosinophilic esophagitis	hsa-mir-200
diabetes mellitus, type 2	hsa-mir-136
endometrial neoplasms	hsa-mir-1303
head and neck neoplasms	hsa-mir-372
aids dementia complex	hsa-mir-520f
hemangiosarcoma	hsa-mir-935
prostate neoplasms	hsa-mir-520c
muscular dystrophy, duchenne	hsa-mir-1247
glioblastoma 	hsa-mir-26
hearing loss	hsa-mir-664
liver cirrhosis	hsa-mir-425
myocardium	hsa-mir-181c
hypertension	hsa-mir-30b
glomerulonephritis, iga	hsa-mir-1302
neutropenia	hsa-mir-100
hcv	hsa-mir-1297
keratoconus	hsa-mir-139
hyperlipidemias	hsa-mir-196a
pituitary adenomas	hsa-mir-664
focal epithelial hyperplasia	hsa-mir-1909
pituitary adenomas	hsa-mir-122
hiv-1	hsa-mir-671
intervertebral disk	hsa-mir-2861
hepatitis c	hsa-mir-200c
endomyocardial fibrosis	hsa-mir-29a
lymphoma, primary effusion	hsa-mir-499a
salivary gland neoplasms	hsa-mir-224
endomyocardial fibrosis	hsa-mir-190a
gastritis, atrophic	hsa-mir-146a
huntington disease	hsa-mir-642b
chordoma	hsa-mir-15b
pregnancy, ectopic	hsa-mir-151a
cardiovascular diseases	hsa-mir-3196
lymphoma, non-hodgkin	hsa-mir-526b
myasthenia gravis	hsa-mir-508
laryngeal neoplasms	hsa-let-7g
uterine cervical neoplasms	hsa-mir-151
leukemia, b-cell	hsa-mir-627
myotonic dystrophy	hsa-mir-190b
musculoskeletal abnormalities	hsa-mir-758
graft vs host disease	hsa-mir-663
biliary atresia	hsa-mir-299
leukemia, b-cell	hsa-mir-1258
papilary thyroid carcinoma	hsa-mir-1299
mycosis fungoides	hsa-mir-92a
waldenstrom macroglobulinemia	hsa-mir-141
psoriasis	hsa-mir-942
huntington disease	hsa-mir-671
nerve sheath neoplasms	hsa-mir-198
hypertrophy, left ventricular	hsa-mir-520a
polycystic kidney diseases	hsa-mir-101
aortic valve insufficiency	hsa-mir-29a
carcinoma, renal cell	hsa-mir-660
biliary tract neoplasms	hsa-mir-514a
bladder neoplasms	hsa-mir-130b
graft vs host disease	hsa-mir-223
hepatitis b	hsa-mir-7
hypertrophy	hsa-mir-589
lymphoma, non-hodgkin	hsa-mir-298
carcinoma, basal cell	hsa-mir-625
hypopharyngeal neoplasms	hsa-mir-367
acquired immunodeficiency syndrome	hsa-mir-504
pulmonary embolism	hsa-mir-664
eye abnormalities	hsa-mir-520f
sars virus	hsa-mir-3940
osteolysis	hsa-mir-596
distal myopathies	hsa-mir-499a
sarcoma, kaposi	hsa-mir-34a
adrenal cortex neoplasms	hsa-mir-138
hypertension	hsa-mir-520d
periodontal diseases	hsa-mir-660
waldenstrom macroglobulinemia	hsa-mir-107
hypopharyngeal neoplasms	hsa-mir-942
hepatoblastoma	hsa-mir-329
psoriasis	hsa-mir-1256
obesity	hsa-mir-767
vascular calcification	hsa-mir-1909
patau syndrome	hsa-mir-221
barrett esophagus	hsa-mir-153
multiple endocrine neoplasia type 1	hsa-mir-627
pulmonary embolism	hsa-mir-130b
colitis	hsa-mir-499b
aortic valve insufficiency	hsa-mir-378g
rna virus infections	hsa-mir-151a
liposarcoma	hsa-mir-301a
hbv infection	hsa-mir-143
glioma	hsa-mir-378a
radiation injuries	hsa-mir-32
hematologic neoplasms	hsa-mir-520e
cervical neoplasms	hsa-mir-146b
vitiligo	hsa-mir-329
rhinitis, allergic, perennial	hsa-mir-302f
hyperlipidemias	hsa-mir-10a
brain injuries	hsa-mir-491
retinoblastoma	hsa-mir-1972
alzheimer disease	hsa-mir-519c
tuberculosis, pulmonary	hsa-mir-3130
psoriasis	hsa-mir-1245a
precursor b-cell lymphoblastic leukemia-lymphoma	hsa-mir-521
brain neoplasms	hsa-mir-33a
oligodendroglioma	hsa-mir-383
hand, foot and mouth disease	hsa-mir-616
sjogren's syndrome	hsa-mir-550a
intellectual disability	hsa-mir-3186
colorectal neoplasms	hsa-mir-95
hepatitis, chronic	hsa-mir-122
myasthenia gravis	hsa-mir-646
hiv infections	hsa-mir-130b
carcinoma	hsa-mir-370
francisella	hsa-mir-320c
arthritis	hsa-mir-218
leiomyoma	hsa-mir-542
atrophy	hsa-mir-2110
aortic valve insufficiency	hsa-mir-375
hepatoblastoma	hsa-mir-130b
adrenocortical carcinoma	hsa-mir-662
kidney diseases	hsa-mir-3186
leiomyosarcoma	hsa-mir-455
creutzfeldt-jakob syndrome	hsa-mir-658
biliary atresia	hsa-mir-621
hypertrophy	hsa-mir-642a
spinal cord injuries	hsa-mir-204
carcinoma, neuroendocrine	hsa-mir-372
papilary thyroid carcinoma	hsa-mir-544b
glomerulonephritis, iga	hsa-mir-668
myeloproliferative disorders	hsa-mir-302f
musculoskeletal abnormalities	hsa-mir-4306
sars virus	hsa-mir-299
myocardial ischemia	hsa-mir-661
barrett esophagus	hsa-mir-592
fatty liver, non-alcoholic	hsa-mir-552
nephrosclerosis	hsa-mir-33b
stomach neoplasms 	hsa-mir-1183
lung diseases	hsa-mir-92
stomach diseases	hsa-mir-371a
melanoma	hsa-mir-487a
osteosarcoma	hsa-mir-3196
neuroma, acoustic	hsa-mir-101
hcv	hsa-mir-711
hypopharyngeal neoplasms	hsa-mir-517c
myocardial infarction	hsa-mir-922
sarcoma, synovial	hsa-mir-1256
brain injuries	hsa-mir-142
odontogenic tumors	hsa-mir-454
gastrointestinal neoplasms	hsa-mir-628
myelodysplastic syndromes	hsa-mir-124
angina, unstable	hsa-mir-513c
cardiomyopathies	hsa-mir-1228
rhinitis, allergic, perennial	hsa-mir-503
uterine cervical neoplasms	hsa-mir-518e
anoxia	hsa-mir-518b
vascular calcification	hsa-mir-133b
cerebral hemorrhage	hsa-mir-30d
colon neoplasms	hsa-mir-630
gastritis, atrophic	hsa-mir-611
